0 [1, 16, 0, 0, 0, 0]
17 [1, 17, 0, 0, 2, 0]
18 [1, 18, 0, 0, 4, 0]
19 [1, 19, 0, 0, 76, 0]
20 [1, 20, 0, 0, 836, 0]
21 [1, 21, 6, 0, 836, 0]
22 [1, 22, 132, 0, 836, 0]
23 [1, 23, 134, 0, 836, 0]
24 [1, 24, 134, 0, 970, 0]
25 [1, 26, 134, 0, 970, 0]
27 [1, 27, 27, 0, 970, 0]
28 [1, 28, 756, 0, 970, 0]
29 [1, 29, 785, 0, 970, 0]
30 [1, 30, 23550, 0, 970, 0]
31 [1, 31, 329700, 0, 970, 0]
32 [1, 32, 10550400, 0, 970, 0]
33 [1, 33, 10550400, 0, 10551370, 0]
34 [0, 34, 10550400, 0, 10551370, 0]
35 [0, 0, 10550400, 0, 10551370, 0]
1 [0, 1, 10550400, 1, 10551370, 0]
2 [0, 2, 10550400, 1, 10551370, 1]
3 [0, 3, 1, 1, 10551370, 1]
4 [0, 4, 0, 1, 10551370, 1]
5 [0, 5, 0, 1, 10551370, 1]
6 [0, 7, 0, 1, 10551370, 1]
8 [0, 8, 0, 1, 10551370, 2]
9 [0, 9, 0, 1, 10551370, 2]
10 [0, 10, 0, 1, 10551370, 2]
11 [0, 2, 0, 1, 10551370, 2]
3 [0, 3, 2, 1, 10551370, 2]
4 [0, 4, 0, 1, 10551370, 2]
5 [0, 5, 0, 1, 10551370, 2]
6 [0, 7, 0, 1, 10551370, 2]
8 [0, 8, 0, 1, 10551370, 3]
9 [0, 9, 0, 1, 10551370, 3]
10 [0, 10, 0, 1, 10551370, 3]
11 [0, 2, 0, 1, 10551370, 3]
3 [0, 3, 3, 1, 10551370, 3]
4 [0, 4, 0, 1, 10551370, 3]
5 [0, 5, 0, 1, 10551370, 3]
6 [0, 7, 0, 1, 10551370, 3]
8 [0, 8, 0, 1, 10551370, 4]
9 [0, 9, 0, 1, 10551370, 4]
10 [0, 10, 0, 1, 10551370, 4]
11 [0, 2, 0, 1, 10551370, 4]
3 [0, 3, 4, 1, 10551370, 4]
4 [0, 4, 0, 1, 10551370, 4]
5 [0, 5, 0, 1, 10551370, 4]
6 [0, 7, 0, 1, 10551370, 4]
8 [0, 8, 0, 1, 10551370, 5]
9 [0, 9, 0, 1, 10551370, 5]
10 [0, 10, 0, 1, 10551370, 5]
11 [0, 2, 0, 1, 10551370, 5]
3 [0, 3, 5, 1, 10551370, 5]
4 [0, 4, 0, 1, 10551370, 5]
5 [0, 5, 0, 1, 10551370, 5]
6 [0, 7, 0, 1, 10551370, 5]
8 [0, 8, 0, 1, 10551370, 6]
9 [0, 9, 0, 1, 10551370, 6]
